,Class balance,Train size,Model,Implementation,Threshold,Run,AUROC,AUCPR
295,0.3,3200,2,sklearn,-,1,0.62286,0.76462
296,0.3,3200,3,user-defined,1,1,0.63385,0.6768
297,0.3,3200,3,user-defined,2,1,0.63385,0.6768
298,0.3,3200,3,user-defined,3,1,0.63385,0.6768
299,0.3,3200,3,sklearn,-,1,0.63383,0.77069
300,0.3,3200,4,user-defined,1,1,0.79231,0.83249
301,0.3,3200,4,user-defined,2,1,0.79581,0.83157
302,0.3,3200,4,user-defined,3,1,0.79723,0.83105
303,0.3,3200,4,sklearn,-,1,0.79711,0.83085
304,0.3,6400,1,user-defined,1,1,0.79465,0.83047
305,0.3,6400,1,user-defined,2,1,0.79755,0.82975
306,0.3,6400,1,user-defined,3,1,0.79789,0.82915
307,0.3,6400,1,sklearn,-,1,0.79793,0.82926
308,0.3,6400,2,user-defined,1,1,0.63865,0.68175
309,0.3,6400,2,user-defined,2,1,0.63865,0.68175
310,0.3,6400,2,user-defined,3,1,0.63865,0.68175
311,0.3,6400,2,sklearn,-,1,0.63868,0.77394
312,0.3,6400,3,user-defined,1,1,0.623,0.66805
313,0.3,6400,3,user-defined,2,1,0.623,0.66805
314,0.3,6400,3,user-defined,3,1,0.623,0.66805
315,0.3,6400,3,sklearn,-,1,0.62298,0.76405
316,0.3,6400,4,user-defined,1,1,0.79284,0.82875
317,0.3,6400,4,user-defined,2,1,0.79587,0.82815
318,0.3,6400,4,user-defined,3,1,0.79677,0.82747
319,0.3,6400,4,sklearn,-,1,0.79676,0.82749
320,0.3,12800,1,user-defined,1,1,0.79537,0.83086
321,0.3,12800,1,user-defined,2,1,0.7977,0.82992
322,0.3,12800,1,user-defined,3,1,0.79831,0.82985
323,0.3,12800,1,sklearn,-,1,0.79821,0.82997
324,0.3,12800,2,user-defined,1,1,0.62535,0.674
325,0.3,12800,2,user-defined,2,1,0.62535,0.674
326,0.3,12800,2,user-defined,3,1,0.62535,0.674
327,0.3,12800,2,sklearn,-,1,0.62535,0.76669
328,0.3,12800,3,user-defined,1,1,0.64085,0.6828
329,0.3,12800,3,user-defined,2,1,0.64085,0.6828
330,0.3,12800,3,user-defined,3,1,0.64085,0.6828
331,0.3,12800,3,sklearn,-,1,0.64081,0.77506
332,0.3,12800,4,user-defined,1,1,0.79533,0.8308
333,0.3,12800,4,user-defined,2,1,0.79789,0.83141
334,0.3,12800,4,user-defined,3,1,0.79808,0.83073
335,0.3,12800,4,sklearn,-,1,0.79816,0.83081
336,0.4,200,1,user-defined,1,1,0.79233,0.8405
337,0.4,200,1,user-defined,2,1,0.79561,0.84201
338,0.4,200,1,user-defined,3,1,0.79691,0.84095
339,0.4,200,1,sklearn,-,1,0.79687,0.84089
340,0.4,200,2,user-defined,1,1,0.65645,0.72695
341,0.4,200,2,user-defined,2,1,0.65645,0.72695
342,0.4,200,2,user-defined,3,1,0.65645,0.72695
343,0.4,200,2,sklearn,-,1,0.65645,0.80157
344,0.4,200,3,user-defined,1,1,0.63095,0.7255
345,0.4,200,3,user-defined,2,1,0.63095,0.7255
346,0.4,200,3,user-defined,3,1,0.63095,0.7255
347,0.4,200,3,sklearn,-,1,0.63096,0.79299
348,0.4,200,4,user-defined,1,1,0.77367,0.81985
349,0.4,200,4,user-defined,2,1,0.77783,0.81916
350,0.4,200,4,user-defined,3,1,0.7784,0.81749
351,0.4,200,4,sklearn,-,1,0.77838,0.81835
352,0.4,400,1,user-defined,1,1,0.78525,0.83196
353,0.4,400,1,user-defined,2,1,0.78834,0.83093
354,0.4,400,1,user-defined,3,1,0.78979,0.83129
355,0.4,400,1,sklearn,-,1,0.78995,0.83166
356,0.4,400,2,user-defined,1,1,0.6213,0.6924
357,0.4,400,2,user-defined,2,1,0.6213,0.6924
358,0.4,400,2,user-defined,3,1,0.6213,0.6924
359,0.4,400,2,sklearn,-,1,0.62132,0.77981
360,0.4,400,3,user-defined,1,1,0.6289,0.6935
361,0.4,400,3,user-defined,2,1,0.6289,0.6935
362,0.4,400,3,user-defined,3,1,0.6289,0.6935
363,0.4,400,3,sklearn,-,1,0.62886,0.78268
364,0.4,400,4,user-defined,1,1,0.77874,0.82437
365,0.4,400,4,user-defined,2,1,0.77997,0.81594
366,0.4,400,4,user-defined,3,1,0.78059,0.81515
367,0.4,400,4,sklearn,-,1,0.78063,0.81518
368,0.4,800,1,user-defined,1,1,0.79181,0.83599
369,0.4,800,1,user-defined,2,1,0.79508,0.83929
370,0.4,800,1,user-defined,3,1,0.79621,0.83787
371,0.4,800,1,sklearn,-,1,0.79626,0.83796
372,0.4,800,2,user-defined,1,1,0.6336,0.6969
373,0.4,800,2,user-defined,2,1,0.6336,0.6969
374,0.4,800,2,user-defined,3,1,0.6336,0.6969
375,0.4,800,2,sklearn,-,1,0.6336,0.78531
376,0.4,800,3,user-defined,1,1,0.63715,0.7064
377,0.4,800,3,user-defined,2,1,0.63715,0.7064
378,0.4,800,3,user-defined,3,1,0.63715,0.7064
379,0.4,800,3,sklearn,-,1,0.63714,0.78922
380,0.4,800,4,user-defined,1,1,0.79339,0.8368
381,0.4,800,4,user-defined,2,1,0.79598,0.83772
382,0.4,800,4,user-defined,3,1,0.79679,0.83874
383,0.4,800,4,sklearn,-,1,0.79682,0.84106
384,0.4,1600,1,user-defined,1,1,0.79471,0.83947
385,0.4,1600,1,user-defined,2,1,0.79653,0.83985
386,0.4,1600,1,user-defined,3,1,0.79684,0.83881
387,0.4,1600,1,sklearn,-,1,0.79692,0.83874
388,0.4,1600,2,user-defined,1,1,0.62855,0.69065
389,0.4,1600,2,user-defined,2,1,0.62855,0.69065
390,0.4,1600,2,user-defined,3,1,0.62855,0.69065
391,0.4,1600,2,sklearn,-,1,0.62851,0.78175
392,0.4,1600,3,user-defined,1,1,0.6263,0.6979
393,0.4,1600,3,user-defined,2,1,0.6263,0.6979
394,0.4,1600,3,user-defined,3,1,0.6263,0.6979
395,0.4,1600,3,sklearn,-,1,0.62629,0.78309
396,0.4,1600,4,user-defined,1,1,0.79376,0.83884
397,0.4,1600,4,user-defined,2,1,0.79683,0.83992
398,0.4,1600,4,user-defined,3,1,0.79705,0.83854
399,0.4,1600,4,sklearn,-,1,0.79698,0.83858
400,0.4,3200,1,user-defined,1,1,0.79439,0.84233
401,0.4,3200,1,user-defined,2,1,0.7968,0.84067
402,0.4,3200,1,user-defined,3,1,0.79763,0.84019
403,0.4,3200,1,sklearn,-,1,0.79774,0.84005
404,0.4,3200,2,user-defined,1,1,0.62035,0.6847
405,0.4,3200,2,user-defined,2,1,0.62035,0.6847
406,0.4,3200,2,user-defined,3,1,0.62035,0.6847
407,0.4,3200,2,sklearn,-,1,0.62033,0.77718
408,0.4,3200,3,user-defined,1,1,0.6217,0.6807
409,0.4,3200,3,user-defined,2,1,0.6217,0.6807
410,0.4,3200,3,user-defined,3,1,0.6217,0.6807
411,0.4,3200,3,sklearn,-,1,0.62169,0.7765
412,0.4,3200,4,user-defined,1,1,0.79165,0.83725
413,0.4,3200,4,user-defined,2,1,0.79378,0.8365
414,0.4,3200,4,user-defined,3,1,0.79578,0.83629
415,0.4,3200,4,sklearn,-,1,0.79585,0.83601
416,0.4,6400,1,user-defined,1,1,0.79303,0.83846
417,0.4,6400,1,user-defined,2,1,0.79614,0.8391
418,0.4,6400,1,user-defined,3,1,0.79763,0.83976
419,0.4,6400,1,sklearn,-,1,0.79764,0.83986
420,0.4,6400,2,user-defined,1,1,0.63805,0.69055
421,0.4,6400,2,user-defined,2,1,0.63805,0.69055
422,0.4,6400,2,user-defined,3,1,0.63805,0.69055
423,0.4,6400,2,sklearn,-,1,0.63804,0.78524
424,0.4,6400,3,user-defined,1,1,0.6323,0.6913
425,0.4,6400,3,user-defined,2,1,0.6323,0.6913
426,0.4,6400,3,user-defined,3,1,0.6323,0.6913
427,0.4,6400,3,sklearn,-,1,0.63228,0.78328
428,0.4,6400,4,user-defined,1,1,0.7917,0.83739
429,0.4,6400,4,user-defined,2,1,0.79505,0.83774
430,0.4,6400,4,user-defined,3,1,0.79596,0.83743
431,0.4,6400,4,sklearn,-,1,0.79612,0.83778
432,0.4,12800,1,user-defined,1,1,0.79381,0.83898
433,0.4,12800,1,user-defined,2,1,0.79685,0.83977
434,0.4,12800,1,user-defined,3,1,0.79772,0.83996
435,0.4,12800,1,sklearn,-,1,0.79775,0.84007
436,0.4,12800,2,user-defined,1,1,0.6265,0.6855
437,0.4,12800,2,user-defined,2,1,0.6265,0.6855
438,0.4,12800,2,user-defined,3,1,0.6265,0.6855
439,0.4,12800,2,sklearn,-,1,0.62652,0.77959
440,0.4,12800,3,user-defined,1,1,0.63965,0.6976
441,0.4,12800,3,user-defined,2,1,0.63965,0.6976
442,0.4,12800,3,user-defined,3,1,0.63965,0.6976
443,0.4,12800,3,sklearn,-,1,0.63962,0.78768
444,0.4,12800,4,user-defined,1,1,0.79409,0.84017
445,0.4,12800,4,user-defined,2,1,0.79641,0.84088
446,0.4,12800,4,user-defined,3,1,0.79749,0.84088
447,0.4,12800,4,sklearn,-,1,0.79759,0.84055
448,0.5,200,1,user-defined,1,1,0.79464,0.85053
449,0.5,200,1,user-defined,2,1,0.79829,0.85173
450,0.5,200,1,user-defined,3,1,0.79883,0.85047
451,0.5,200,1,sklearn,-,1,0.79875,0.8503
452,0.5,200,2,user-defined,1,1,0.62925,0.7171
453,0.5,200,2,user-defined,2,1,0.62925,0.7171
454,0.5,200,2,user-defined,3,1,0.62925,0.7171
455,0.5,200,2,sklearn,-,1,0.62922,0.79677
456,0.5,200,3,user-defined,1,1,0.6047,0.7029
457,0.5,200,3,user-defined,2,1,0.6047,0.7029
458,0.5,200,3,user-defined,3,1,0.6047,0.7029
459,0.5,200,3,sklearn,-,1,0.60475,0.78513
460,0.5,200,4,user-defined,1,1,0.77541,0.82619
461,0.5,200,4,user-defined,2,1,0.77838,0.82117
462,0.5,200,4,user-defined,3,1,0.77919,0.81678
463,0.5,200,4,sklearn,-,1,0.77961,0.81815
464,0.5,400,1,user-defined,1,1,0.79071,0.84547
465,0.5,400,1,user-defined,2,1,0.79256,0.84408
466,0.5,400,1,user-defined,3,1,0.79337,0.84353
467,0.5,400,1,sklearn,-,1,0.79317,0.84311
468,0.5,400,2,user-defined,1,1,0.62275,0.7028
